,Number,Name,Department,Functional_Group,Sp_Area_Designed,Area_Briefed,Area Dif
4534658,01.04.01.001,6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),54.00,54.00,0.00
4534683,01.04.01.002,6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),54.00,54.00,0.00
4534708,01.04.01.003,6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),54.00,54.00,0.00
4534733,01.04.01.004,6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),54.00,54.00,0.00
4534758,01.04.01.005,6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),54.00,54.00,0.00
4534168,01.04.01.006,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),4.57,0.00,-4.57
4534157,01.04.01.007,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),4.57,0.00,-4.57
4534146,01.04.01.008,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),4.57,0.00,-4.57
4534105,01.04.01.009,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),4.57,0.00,-4.57
4534135,01.04.01.010,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),4.57,0.00,-4.57
4534219,01.04.01.011,2-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),25.92,18.00,-7.92
3640293,01.04.01.012,1-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),16.11,15.00,-1.11
3640356,01.04.01.012,1-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),16.11,15.00,-1.11
3640396,01.04.01.012,2-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),25.92,18.00,-7.92
3640398,01.04.01.012,2-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),25.92,18.00,-7.92
3699456,01.04.01.012,6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),54.00,54.00,0.00
3699481,01.04.01.012,6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),54.00,54.00,0.00
3699506,01.04.01.012,6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),54.00,54.00,0.00
3699531,01.04.01.012,6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),54.00,54.00,0.00
3699556,01.04.01.012,6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),54.00,54.00,0.00
3699581,01.04.01.012,6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),54.00,54.00,0.00
3699606,01.04.01.012,6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),54.00,54.00,0.00
3699631,01.04.01.012,6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),54.00,54.00,0.00
3699656,01.04.01.012,6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),54.00,54.00,0.00
3699681,01.04.01.012,6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),54.00,54.00,0.00
3640448,01.04.01.012,ADMISSION,01 - GENERIC INPATIENT WARD,01.04.05 - WARD BASED FACILITIES,12.05,12.00,-0.05
3640525,01.04.01.012,ALCOVES (MEAL TROLLEY),01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,2.09,2.00,-0.09
3640678,01.04.01.012,ALCOVES (MEAL TROLLEY),01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,2.09,2.00,-0.09
3640506,01.04.01.012,ALCOVES (SITTING),01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),1.96,0.00,-1.96
3640520,01.04.01.012,ALCOVES (SITTING),01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),1.96,0.00,-1.96
3640659,01.04.01.012,ALCOVES (SITTING),01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),1.96,0.00,-1.96
3640673,01.04.01.012,ALCOVES (SITTING),01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),1.96,0.00,-1.96
3640550,01.04.01.012,ALCOVES (STRETCHER & WHEELCHAIR),01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,2.59,2.00,-0.59
3640493,01.04.01.012,ALCOVES (TROLLEY),01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,1.73,1.00,-0.73
3640531,01.04.01.012,ALCOVES (TROLLEY),01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),1.72,1.00,-0.72
3640534,01.04.01.012,ALCOVES (TROLLEY),01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),1.73,1.00,-0.73
3640537,01.04.01.012,ALCOVES (TROLLEY),01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),1.73,1.00,-0.73
3640540,01.04.01.012,ALCOVES (TROLLEY),01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),1.73,1.00,-0.73
3640684,01.04.01.012,ALCOVES (TROLLEY),01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),1.72,1.00,-0.72
3640433,01.04.01.012,ASSISTED BATH,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),12.02,0.00,-12.02
3640463,01.04.01.012,ASSISTED BATH,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),12.02,0.00,-12.02
3640400,01.04.01.012,CLEANER'S ROOM,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),3.49,3.00,-0.49
3640546,01.04.01.012,CLEANER'S ROOM,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),3.49,3.00,-0.49
3640418,01.04.01.012,DAY ROOM,01 - GENERIC INPATIENT WARD,01.04.05 - WARD BASED FACILITIES,16.51,15.00,-1.51
3640478,01.04.01.012,DAY ROOM,01 - GENERIC INPATIENT WARD,01.04.05 - WARD BASED FACILITIES,16.51,0.00,-16.51
3640484,01.04.01.012,DIRTY UTILITY,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),10.07,10.00,-0.07
3640469,01.04.01.012,DOCTOR WORKROOM / MEDICAL RECORD HOLDING,01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,10.02,10.00,-0.02
4172636,01.04.01.012,END-OF-LIFE,01 - GENERIC INPATIENT WARD,01.04.03 - SUPPORT AREA,19.96,20.00,0.04
3640296,01.04.01.012,ENSUITE WC / SHOWER FOR 1-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),4.57,0.00,-4.57
3869561,01.04.01.012,ENSUITE WC / SHOWER FOR 1-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),4.57,0.00,-4.57
3640281,01.04.01.012,ENSUITE WC / SHOWER FOR 2-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),4.57,0.00,-4.57
3640287,01.04.01.012,ENSUITE WC / SHOWER FOR 2-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),4.57,0.00,-4.57
4534111,01.04.01.012,ENSUITE WC / SHOWER FOR 2-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),4.57,0.00,-4.57
3640275,01.04.01.012,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),4.57,0.00,-4.57
3640302,01.04.01.012,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),4.70,0.00,-4.70
3640307,01.04.01.012,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),4.57,0.00,-4.57
3640313,01.04.01.012,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),4.70,0.00,-4.70
3640318,01.04.01.012,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),4.57,0.00,-4.57
3640324,01.04.01.012,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),4.70,0.00,-4.70
3640329,01.04.01.012,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),4.57,0.00,-4.57
3640335,01.04.01.012,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),4.70,0.00,-4.70
3640340,01.04.01.012,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),4.57,0.00,-4.57
3640346,01.04.01.012,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),4.70,0.00,-4.70
3640572,01.04.01.012,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),4.57,0.00,-4.57
3640578,01.04.01.012,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),4.70,0.00,-4.70
3640583,01.04.01.012,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),4.57,0.00,-4.57
3640589,01.04.01.012,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),4.70,0.00,-4.70
3640594,01.04.01.012,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),4.57,0.00,-4.57
3640600,01.04.01.012,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),4.70,0.00,-4.70
3640605,01.04.01.012,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),4.57,0.00,-4.57
3640611,01.04.01.012,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),4.70,0.00,-4.70
3640616,01.04.01.012,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),4.57,0.00,-4.57
3640622,01.04.01.012,ENSUITE WC / SHOWER FOR 6-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),4.70,0.00,-4.70
3640299,01.04.01.012,GOWN DOWN FOR 1-BED,01 - GENERIC INPATIENT WARD,01.04.02 - PATIENT AREA (POD 2),5.65,5.00,-0.65
3640362,01.04.01.012,GOWN DOWN FOR 1-BED,01 - GENERIC INPATIENT WARD,01.04.01 - PATIENT AREA (POD 1),5.65,5.00,-0.65
3640415,01.04.01.012,INFORMAL LOUNGE,01 - GENERIC INPATIENT WARD,01.04.05 - WARD BASED FACILITIES,13.97,0.00,-13.97
